index,ion_index,energy,s,p,d
8185,Zr,-48.1641,0.0,0.0,0.0
2185,Ba,-48.1641,0.0,0.0,0.0
5185,S,-48.1641,0.0,0.0,0.0
2184,Ba,-48.1444,0.0,0.0,0.0
8184,Zr,-48.1444,0.0,0.0,0.0
5184,S,-48.1444,0.0,0.0,0.0
8183,Zr,-48.1246,0.0,0.0,0.0
2183,Ba,-48.1246,0.0,0.0,0.0
5183,S,-48.1246,0.0,0.0,0.0
8182,Zr,-48.1049,0.0,0.0,0.0
2182,Ba,-48.1049,0.0,0.0,0.0
5182,S,-48.1049,0.0,0.0,0.0
8181,Zr,-48.0851,0.0,0.0,0.0
2181,Ba,-48.0851,0.0,0.0,0.0
5181,S,-48.0851,0.0,0.0,0.0
2180,Ba,-48.0654,0.0,0.0,0.0
5180,S,-48.0654,0.0,0.0,0.0
8180,Zr,-48.0654,0.0,0.0,0.0
5179,S,-48.0456,0.0,0.0,0.0
2179,Ba,-48.0456,0.0,0.0,0.0
8179,Zr,-48.0456,0.0,0.0,0.0
2178,Ba,-48.0259,0.0,0.0,0.0
8178,Zr,-48.0259,0.0,0.0,0.0
5178,S,-48.0259,0.0,0.0,0.0
5177,S,-48.0062,0.0,0.0,0.0
2177,Ba,-48.0062,0.0,0.0,0.0
8177,Zr,-48.0062,0.0,0.0,0.0
2176,Ba,-47.9864,0.0,0.0,0.0
8176,Zr,-47.9864,0.0,0.0,0.0
5176,S,-47.9864,0.0,0.0,0.0
5175,S,-47.9667,0.0,0.0,0.0
2175,Ba,-47.9667,0.0,0.0,0.0
8175,Zr,-47.9667,0.0,0.0,0.0
8174,Zr,-47.9469,0.0,0.0,0.0
5174,S,-47.9469,0.0,0.0,0.0
2174,Ba,-47.9469,0.0,0.0,0.0
5173,S,-47.9272,0.0,0.0,0.0
2173,Ba,-47.9272,0.0,0.0,0.0
8173,Zr,-47.9272,0.0,0.0,0.0
2172,Ba,-47.9074,0.0,0.0,0.0
8172,Zr,-47.9074,0.0,0.0,0.0
5172,S,-47.9074,0.0,0.0,0.0
2171,Ba,-47.8877,0.0,0.0,0.0
8171,Zr,-47.8877,0.0,0.0,0.0
5171,S,-47.8877,0.0,0.0,0.0
2170,Ba,-47.868,0.0,0.0,0.0
8170,Zr,-47.868,0.0,0.0,0.0
5170,S,-47.868,0.0,0.0,0.0
8169,Zr,-47.8482,0.0,0.0,0.0
5169,S,-47.8482,0.0,0.0,0.0
2169,Ba,-47.8482,0.0,0.0,0.0
5168,S,-47.8285,0.0,0.0,0.0
2168,Ba,-47.8285,0.0,0.0,0.0
8168,Zr,-47.8285,0.0,0.0,0.0
5167,S,-47.8087,0.0,0.0,0.0
2167,Ba,-47.8087,0.0,0.0,0.0
8167,Zr,-47.8087,0.0,0.0,0.0
5166,S,-47.789,0.0,0.0,0.0
8166,Zr,-47.789,0.0,0.0,0.0
2166,Ba,-47.789,0.0,0.0,0.0
8165,Zr,-47.7692,0.0,0.0,0.0
5165,S,-47.7692,0.0,0.0,0.0
2165,Ba,-47.7692,0.0,0.0,0.0
8164,Zr,-47.7495,0.0,0.0,0.0
5164,S,-47.7495,0.0,0.0,0.0
2164,Ba,-47.7495,0.0,0.0,0.0
5163,S,-47.7297,0.0,0.0,0.0
2163,Ba,-47.7297,0.0,0.0,0.0
8163,Zr,-47.7297,0.0,0.0,0.0
2162,Ba,-47.71,0.0,0.0,0.0
8162,Zr,-47.71,0.0,0.0,0.0
5162,S,-47.71,0.0,0.0,0.0
2161,Ba,-47.6903,0.0,0.0,0.0
8161,Zr,-47.6903,0.0,0.0,0.0
5161,S,-47.6903,0.0,0.0,0.0
2160,Ba,-47.6705,0.0,0.0,0.0
5160,S,-47.6705,0.0,0.0,0.0
8160,Zr,-47.6705,0.0,0.0,0.0
5159,S,-47.6508,0.0,0.0,0.0
2159,Ba,-47.6508,0.0,0.0,0.0
8159,Zr,-47.6508,0.0,0.0,0.0
5158,S,-47.631,0.0,0.0,0.0
2158,Ba,-47.631,0.0,0.0,0.0
8158,Zr,-47.631,0.0,0.0,0.0
5157,S,-47.6113,0.0,0.0,0.0
2157,Ba,-47.6113,0.0,0.0,0.0
8157,Zr,-47.6113,0.0,0.0,0.0
2156,Ba,-47.5915,0.0,0.0,0.0
8156,Zr,-47.5915,0.0,0.0,0.0
5156,S,-47.5915,0.0,0.0,0.0
8155,Zr,-47.5718,0.0,0.0,0.0
5155,S,-47.5718,0.0,0.0,0.0
2155,Ba,-47.5718,0.0,0.0,0.0
8154,Zr,-47.552,0.0,0.0,0.0
5154,S,-47.552,0.0,0.0,0.0
2154,Ba,-47.552,0.0,0.0,0.0
8153,Zr,-47.5323,0.0,0.0,0.0
2153,Ba,-47.5323,0.0,0.0,0.0
5153,S,-47.5323,0.0,0.0,0.0
2152,Ba,-47.5126,0.0,0.0,0.0
8152,Zr,-47.5126,0.0,0.0,0.0
5152,S,-47.5126,0.0,0.0,0.0
2151,Ba,-47.4928,0.0,0.0,0.0
8151,Zr,-47.4928,0.0,0.0,0.0
5151,S,-47.4928,0.0,0.0,0.0
8150,Zr,-47.4731,0.0,0.0,0.0
5150,S,-47.4731,0.0,0.0,0.0
2150,Ba,-47.4731,0.0,0.0,0.0
5149,S,-47.4533,0.0,0.0,0.0
2149,Ba,-47.4533,0.0,0.0,0.0
8149,Zr,-47.4533,0.0,0.0,0.0
5148,S,-47.4336,0.0,0.0,0.0
2148,Ba,-47.4336,0.0,0.0,0.0
8148,Zr,-47.4336,0.0,0.0,0.0
2147,Ba,-47.4138,0.0,0.0,0.0
8147,Zr,-47.4138,0.0,0.0,0.0
5147,S,-47.4138,0.0,0.0,0.0
8146,Zr,-47.3941,0.0,0.0,0.0
5146,S,-47.3941,0.0,0.0,0.0
2146,Ba,-47.3941,0.0,0.0,0.0
8145,Zr,-47.3744,0.0,0.0,0.0
5145,S,-47.3744,0.0,0.0,0.0
2145,Ba,-47.3744,0.0,0.0,0.0
8144,Zr,-47.3546,0.0,0.0,0.0
5144,S,-47.3546,0.0,0.0,0.0
2144,Ba,-47.3546,0.0,0.0,0.0
5143,S,-47.3349,0.0,0.0,0.0
2143,Ba,-47.3349,0.0,0.0,0.0
8143,Zr,-47.3349,0.0,0.0,0.0
2142,Ba,-47.3151,0.0,0.0,0.0
8142,Zr,-47.3151,0.0,0.0,0.0
5142,S,-47.3151,0.0,0.0,0.0
2141,Ba,-47.2954,0.0,0.0,0.0
8141,Zr,-47.2954,0.0,0.0,0.0
5141,S,-47.2954,0.0,0.0,0.0
2140,Ba,-47.2756,0.0,0.0,0.0
5140,S,-47.2756,0.0,0.0,0.0
8140,Zr,-47.2756,0.0,0.0,0.0
