index,ion_index,energy,s,p,d
0,Ba,-48.1641,0.0,0.0,0.0
1,Ba,-48.1444,0.0,0.0,0.0
2,Ba,-48.1246,0.0,0.0,0.0
3,Ba,-48.1049,0.0,0.0,0.0
4,Ba,-48.0851,0.0,0.0,0.0
5,Ba,-48.0654,0.0,0.0,0.0
6,Ba,-48.0456,0.0,0.0,0.0
7,Ba,-48.0259,0.0,0.0,0.0
8,Ba,-48.0062,0.0,0.0,0.0
9,Ba,-47.9864,0.0,0.0,0.0
10,Ba,-47.9667,0.0,0.0,0.0
11,Ba,-47.9469,0.0,0.0,0.0
12,Ba,-47.9272,0.0,0.0,0.0
13,Ba,-47.9074,0.0,0.0,0.0
14,Ba,-47.8877,0.0,0.0,0.0
15,Ba,-47.8680,0.0,0.0,0.0
16,Ba,-47.8482,0.0,0.0,0.0
17,Ba,-47.8285,0.0,0.0,0.0
18,Ba,-47.8087,0.0,0.0,0.0
19,Ba,-47.7890,0.0,0.0,0.0
20,Ba,-47.7692,0.0,0.0,0.0
21,Ba,-47.7495,0.0,0.0,0.0
22,Ba,-47.7297,0.0,0.0,0.0
23,Ba,-47.7100,0.0,0.0,0.0
24,Ba,-47.6903,0.0,0.0,0.0
25,Ba,-47.6705,0.0,0.0,0.0
26,Ba,-47.6508,0.0,0.0,0.0
27,Ba,-47.6310,0.0,0.0,0.0
28,Ba,-47.6113,0.0,0.0,0.0
29,Ba,-47.5915,0.0,0.0,0.0
30,Ba,-47.5718,0.0,0.0,0.0
31,Ba,-47.5520,0.0,0.0,0.0
32,Ba,-47.5323,0.0,0.0,0.0
33,Ba,-47.5126,0.0,0.0,0.0
34,Ba,-47.4928,0.0,0.0,0.0
35,Ba,-47.4731,0.0,0.0,0.0
36,Ba,-47.4533,0.0,0.0,0.0
37,Ba,-47.4336,0.0,0.0,0.0
38,Ba,-47.4138,0.0,0.0,0.0
39,Ba,-47.3941,0.0,0.0,0.0
40,Ba,-47.3744,0.0,0.0,0.0
41,Ba,-47.3546,0.0,0.0,0.0
42,Ba,-47.3349,0.0,0.0,0.0
43,Ba,-47.3151,0.0,0.0,0.0
44,Ba,-47.2954,0.0,0.0,0.0
45,Ba,-47.2756,0.0,0.0,0.0
46,Ba,-47.2559,0.0,0.0,0.0
47,Ba,-47.2361,0.0,0.0,0.0
48,Ba,-47.2164,0.0,0.0,0.0
49,Ba,-47.1967,0.0,0.0,0.0
50,Ba,-47.1769,0.0,0.0,0.0
51,Ba,-47.1572,0.0,0.0,0.0
52,Ba,-47.1374,0.0,0.0,0.0
53,Ba,-47.1177,0.0,0.0,0.0
54,Ba,-47.0979,0.0,0.0,0.0
55,Ba,-47.0782,0.0,0.0,0.0
56,Ba,-47.0585,0.0,0.0,0.0
57,Ba,-47.0387,0.0,0.0,0.0
58,Ba,-47.0190,0.0,0.0,0.0
59,Ba,-46.9992,0.0,0.0,0.0
60,Ba,-46.9795,0.0,0.0,0.0
61,Ba,-46.9597,0.0,0.0,0.0
62,Ba,-46.9400,0.0,0.0,0.0
63,Ba,-46.9202,0.0,0.0,0.0
64,Ba,-46.9005,0.0,0.0,0.0
65,Ba,-46.8808,0.0,0.0,0.0
66,Ba,-46.8610,0.0,0.0,0.0
67,Ba,-46.8413,0.0,0.0,0.0
68,Ba,-46.8215,0.0,0.0,0.0
69,Ba,-46.8018,0.0,0.0,0.0
70,Ba,-46.7820,0.0,0.0,0.0
71,Ba,-46.7623,0.0,0.0,0.0
72,Ba,-46.7425,0.0,0.0,0.0
73,Ba,-46.7228,0.0,0.0,0.0
74,Ba,-46.7031,0.0,0.0,0.0
75,Ba,-46.6833,0.0,0.0,0.0
76,Ba,-46.6636,0.0,0.0,0.0
77,Ba,-46.6438,0.0,0.0,0.0
78,Ba,-46.6241,0.0,0.0,0.0
79,Ba,-46.6043,0.0,0.0,0.0
80,Ba,-46.5846,0.0,0.0,0.0
81,Ba,-46.5649,0.0,0.0,0.0
82,Ba,-46.5451,0.0,0.0,0.0
83,Ba,-46.5254,0.0,0.0,0.0
84,Ba,-46.5056,0.0,0.0,0.0
85,Ba,-46.4859,0.0,0.0,0.0
86,Ba,-46.4661,0.0,0.0,0.0
87,Ba,-46.4464,0.0,0.0,0.0
88,Ba,-46.4266,0.0,0.0,0.0
89,Ba,-46.4069,0.0,0.0,0.0
90,Ba,-46.3872,0.0,0.0,0.0
