energy,total,integrate
-48.1641,0.0000,0.0000
-48.1444,0.0000,0.0000
-48.1246,0.0000,0.0000
-48.1049,0.0000,0.0000
-48.0851,0.0000,0.0000
-48.0654,0.0000,0.0000
-48.0456,0.0000,0.0000
-48.0259,0.0000,0.0000
-48.0062,0.0000,0.0000
-47.9864,0.0000,0.0000
-47.9667,0.0000,0.0000
-47.9469,0.0000,0.0000
-47.9272,0.0000,0.0000
-47.9074,0.0000,0.0000
-47.8877,0.0000,0.0000
-47.8680,0.0000,0.0000
-47.8482,0.0000,0.0000
-47.8285,0.0000,0.0000
-47.8087,0.0000,0.0000
-47.7890,0.0000,0.0000
-47.7692,0.0000,0.0000
-47.7495,0.0000,0.0000
-47.7297,0.0000,0.0000
-47.7100,0.0000,0.0000
-47.6903,0.0000,0.0000
-47.6705,0.0000,0.0000
-47.6508,0.0000,0.0000
-47.6310,0.0000,0.0000
-47.6113,0.0000,0.0000
-47.5915,0.0000,0.0000
-47.5718,0.0000,0.0000
-47.5520,0.0000,0.0000
-47.5323,0.0000,0.0000
-47.5126,0.0000,0.0000
-47.4928,0.0000,0.0000
-47.4731,0.0000,0.0000
-47.4533,0.0000,0.0000
-47.4336,0.0000,0.0000
-47.4138,0.0000,0.0000
-47.3941,0.0000,0.0000
-47.3744,0.0000,0.0000
-47.3546,0.0000,0.0000
-47.3349,0.0000,0.0000
-47.3151,0.0000,0.0000
-47.2954,0.0000,0.0000
-47.2756,0.0000,0.0000
-47.2559,0.0000,0.0000
-47.2361,0.0000,0.0000
-47.2164,0.0000,0.0000
-47.1967,0.0000,0.0000
-47.1769,0.0000,0.0000
-47.1572,0.0000,0.0000
-47.1374,0.0000,0.0000
-47.1177,0.0000,0.0000
-47.0979,0.0000,0.0000
-47.0782,0.0000,0.0000
-47.0585,0.0000,0.0000
-47.0387,0.0000,0.0000
-47.0190,0.0000,0.0000
-46.9992,0.0000,0.0000
-46.9795,0.0000,0.0000
-46.9597,0.0000,0.0000
-46.9400,0.0000,0.0000
-46.9202,0.0000,0.0000
-46.9005,0.0000,0.0000
-46.8808,0.0000,0.0000
-46.8610,0.0000,0.0000
-46.8413,0.0000,0.0000
-46.8215,0.0000,0.0000
-46.8018,0.0000,0.0000
-46.7820,0.0000,0.0000
-46.7623,0.0000,0.0000
-46.7425,0.0000,0.0000
-46.7228,0.0000,0.0000
-46.7031,0.0000,0.0000
-46.6833,0.0000,0.0000
-46.6636,0.0000,0.0000
-46.6438,0.0000,0.0000
-46.6241,0.0000,0.0000
-46.6043,0.0000,0.0000
-46.5846,0.0000,0.0000
-46.5649,0.0000,0.0000
-46.5451,0.0000,0.0000
-46.5254,0.0000,0.0000
-46.5056,0.0000,0.0000
-46.4859,0.0000,0.0000
-46.4661,0.0000,0.0000
-46.4464,0.0000,0.0000
-46.4266,0.0000,0.0000
-46.4069,0.0000,0.0000
-46.3872,0.0000,0.0000
-46.3674,0.0000,0.0000
-46.3477,0.0000,0.0000
-46.3279,0.0000,0.0000
-46.3082,0.0000,0.0000
-46.2884,0.0000,0.0000
-46.2687,0.0000,0.0000
-46.2490,0.0000,0.0000
-46.2292,0.0000,0.0000
-46.2095,0.0000,0.0000
-46.1897,0.0000,0.0000
-46.1700,0.0000,0.0000
-46.1502,0.0000,0.0000
-46.1305,0.0000,0.0000
-46.1107,0.0000,0.0000
-46.0910,0.0000,0.0000
-46.0713,0.0000,0.0000
-46.0515,0.0000,0.0000
-46.0318,0.0000,0.0000
-46.0120,0.0000,0.0000
-45.9923,0.0000,0.0000
-45.9725,0.0000,0.0000
-45.9528,0.0000,0.0000
-45.9330,0.0000,0.0000
-45.9133,0.0000,0.0000
-45.8936,0.0000,0.0000
-45.8738,0.0000,0.0000
-45.8541,0.0000,0.0000
-45.8343,0.0000,0.0000
-45.8146,0.0000,0.0000
-45.7948,0.0000,0.0000
-45.7751,0.0000,0.0000
-45.7554,0.0000,0.0000
-45.7356,0.0000,0.0000
-45.7159,0.0000,0.0000
-45.6961,0.0000,0.0000
-45.6764,0.0000,0.0000
-45.6566,0.0000,0.0000
-45.6369,0.0000,0.0000
-45.6171,0.0000,0.0000
-45.5974,0.0000,0.0000
-45.5777,0.0000,0.0000
-45.5579,0.0000,0.0000
-45.5382,0.0000,0.0000
-45.5184,0.0000,0.0000
-45.4987,0.0000,0.0000
-45.4789,0.0000,0.0000
-45.4592,0.0000,4.0000
-45.4395,0.0000,4.0000
-45.4197,0.0000,4.0000
-45.4000,0.0000,4.0000
-45.3802,0.0000,4.0000
-45.3605,0.0000,4.0000
-45.3407,0.0000,4.0000
-45.3210,0.0000,4.0000
-45.3012,0.0000,4.0000
-45.2815,0.0000,4.0000
-45.2618,0.0000,4.0000
-45.2420,0.0000,4.0000
-45.2223,0.0000,4.0000
-45.2025,0.0000,4.0000
-45.1828,0.0000,4.0000
-45.1630,0.0000,4.0000
-45.1433,0.0000,4.0000
-45.1235,0.0000,4.0000
-45.1038,0.0000,4.0000
-45.0841,0.0000,4.0000
-45.0643,0.0000,4.0000
-45.0446,0.0000,4.0000
-45.0248,0.0000,4.0000
-45.0051,0.0000,4.0000
-44.9853,0.0000,4.0000
-44.9656,0.0000,4.0000
-44.9459,0.0000,4.0000
-44.9261,0.0000,4.0000
-44.9064,0.0000,4.0000
-44.8866,0.0000,4.0000
-44.8669,0.0000,4.0000
-44.8471,0.0000,4.0000
-44.8274,0.0000,4.0000
